"","graph.type","measure","average","std.dev"
"222","random","betweenness",0.0224675324675325,0.0230961628813638
"223","random","betweenness",0.0226901669758813,0.0192092344525199
"224","random","betweenness",0.0221005978148835,0.0184464480697141
"225","random","betweenness",0.0216532673675531,0.0195577364420732
"226","random","betweenness",0.0262193362193362,0.0252911275123651
"227","random","betweenness",0.023382807668522,0.020931618966875
"228","random","betweenness",0.0307586064728922,0.0298668615901948
"229","random","betweenness",0.0245804988662131,0.0215877763654708
"230","random","betweenness",0.0233374561945991,0.0206918745912125
"231","random","betweenness",0.0224489795918367,0.0200801025559267
"232","random","betweenness",0.0251700680272109,0.0256960043142717
"233","random","betweenness",0.0252216037930324,0.0234307058290966
"234","random","betweenness",0.0228756957328386,0.0255382151306986
"235","random","betweenness",0.0256730571016285,0.0246326191629668
"236","random","betweenness",0.0251741908884766,0.0250186440590125
"237","random","betweenness",0.0216635745207174,0.0189993668370049
"238","random","betweenness",0.021873840445269,0.0192673729017961
"239","random","betweenness",0.0216615130900845,0.0216319003554097
"240","random","betweenness",0.0242815914244486,0.0224598378326535
"241","random","betweenness",0.0246629560915275,0.0257146216573281
"242","random","betweenness",0.0255225726654298,0.0232342869957332
"243","random","betweenness",0.02431869717584,0.0252505157686094
"244","random","betweenness",0.0218717790146362,0.0188892586298399
"245","random","betweenness",0.0237250051535766,0.0209341905386178
"246","random","betweenness",0.0206534735106164,0.0188312976294804
"247","random","betweenness",0.022723149866007,0.0202046045864933
"248","random","betweenness",0.0278025149453721,0.0257951476326583
"249","random","betweenness",0.0244753659039373,0.0217170744416378
"250","random","betweenness",0.0243537414965986,0.0235410584526983
"251","random","betweenness",0.0239579468150897,0.0214389398858528
"252","random","betweenness",0.0224922696351268,0.0216318793562772
"253","random","betweenness",0.0240878169449598,0.0202282179567778
"254","random","betweenness",0.0224757781900639,0.023910664065265
"255","random","betweenness",0.0244094001236858,0.0221878762954112
"256","random","betweenness",0.0225809111523397,0.0248006016015496
"257","random","betweenness",0.0230839002267574,0.0241237287720911
"258","random","betweenness",0.0249742321170893,0.0238261350246265
"259","random","betweenness",0.0239764996907854,0.022515448618193
"260","random","betweenness",0.0203257060399918,0.0186240462939446
"261","random","betweenness",0.0256606885178314,0.0249402507711462
"262","random","betweenness",0.0226283240568955,0.0288689991841282
"263","random","betweenness",0.0239558853844568,0.0231250079910941
"264","random","betweenness",0.0228756957328386,0.0206707952538372
"265","random","betweenness",0.0226489383632241,0.0210565470715496
"266","random","betweenness",0.0253741496598639,0.0273597476602464
"267","random","betweenness",0.0230179344465059,0.0209568459021129
"268","random","betweenness",0.0243063285920429,0.025354415346941
"269","random","betweenness",0.0224469181612039,0.0206909258743999
"270","random","betweenness",0.021317254174397,0.019702372104634
"271","random","betweenness",0.0237744794887652,0.0244629717459588
"272","random","betweenness",0.0231828488971346,0.0228036032209649
"273","random","betweenness",0.0243990929705215,0.0215726710795862
"274","random","betweenness",0.0230632859204288,0.0208857443339787
"275","random","betweenness",0.0232817975675119,0.0193906579927412
"276","random","betweenness",0.0243290043290043,0.0226981053978884
"277","random","betweenness",0.0256854256854257,0.0265070642948955
"278","random","betweenness",0.0263636363636364,0.0275766900179821
"279","random","betweenness",0.024040404040404,0.0202100206509897
"280","random","betweenness",0.0248196248196248,0.0236628647110371
"281","random","betweenness",0.0221892393320965,0.0226420604978585
"282","random","betweenness",0.0232488146773861,0.0225590949847757
"283","random","betweenness",0.0256153370439085,0.0246019065324716
"284","random","betweenness",0.0265759637188209,0.0243307139128345
"285","random","betweenness",0.0235559678416821,0.0251961677630306
"286","random","betweenness",0.0238775510204082,0.0230375449226881
"287","random","betweenness",0.0254957740672026,0.0254781973730117
"288","random","betweenness",0.0248278705421563,0.0247969394076634
"289","random","betweenness",0.023865182436611,0.02248419119357
"290","random","betweenness",0.0254256854256854,0.0220235793292351
"291","random","betweenness",0.0237868480725624,0.0244833284365652
"292","random","betweenness",0.0227664399092971,0.0207617896260831
"293","random","betweenness",0.0300597814883529,0.0288352593649092
"294","random","betweenness",0.0246361574933004,0.0229915273875442
"295","random","betweenness",0.022547928262214,0.0210492263001882
"296","random","betweenness",0.024114615543187,0.023326272164383
"297","random","betweenness",0.0226881055452484,0.0202048046154183
"298","random","betweenness",0.0231787260358689,0.0237470628589856
"299","random","betweenness",0.0239311482168625,0.0215474988456439
"300","random","betweenness",0.0245372088229231,0.0274208938531518
"301","random","clustering",0.0411004102015338,0.121342153457596
"302","random","clustering",0.0544817927170868,0.128766235514107
